api.AuthenticatorAttestationResponse.attestationObject	1	1	1
api.AuthenticatorAttestationResponse.getAuthenticatorData	1	1	1
api.AuthenticatorAttestationResponse.getPublicKey	1	1	1
api.AuthenticatorAttestationResponse.getPublicKey.algorithm_eddsa	1	1	0
api.AuthenticatorAttestationResponse.getPublicKey.algorithm_es256	1	1	1
api.AuthenticatorAttestationResponse.getPublicKey.algorithm_rs256	1	1	0
api.AuthenticatorAttestationResponse.getPublicKeyAlgorithm	1	1	1
api.AuthenticatorAttestationResponse.getTransports	1	1	1
api.AuthenticatorResponse	1	1	1
api.AuthenticatorResponse.clientDataJSON	1	1	1
api.BackgroundFetchEvent.BackgroundFetchEvent	1	0	0
api.BackgroundFetchEvent	1	0	0
api.BackgroundFetchEvent.registration	1	0	0
api.BackgroundFetchManager	1	0	0
api.BackgroundFetchManager.fetch	1	0	0
api.BackgroundFetchManager.get	1	0	0
api.BackgroundFetchManager.getIds	1	0	0
api.BackgroundFetchRecord	1	0	0
api.BackgroundFetchRecord.request	1	0	0
api.BackgroundFetchRecord.responseReady	1	0	0
api.BackgroundFetchRegistration	1	0	0
api.BackgroundFetchRegistration.abort	1	0	0
api.BackgroundFetchRegistration.downloadTotal	1	0	0
api.BackgroundFetchRegistration.downloaded	1	0	0
api.BackgroundFetchRegistration.failureReason	1	0	0
api.BackgroundFetchRegistration.id	1	0	0
api.BackgroundFetchRegistration.match	1	0	0
api.BackgroundFetchRegistration.matchAll	1	0	0
api.BackgroundFetchRegistration.progress_event	1	0	0
api.BackgroundFetchRegistration.recordsAvailable	1	0	0
api.BackgroundFetchRegistration.result	1	0	0
api.BackgroundFetchRegistration.uploadTotal	1	0	0
api.BackgroundFetchRegistration.uploaded	1	0	0
api.BackgroundFetchUpdateUIEvent.BackgroundFetchUpdateUIEvent	1	0	0
api.BackgroundFetchUpdateUIEvent	1	0	0
api.BackgroundFetchUpdateUIEvent.updateUI	1	0	0
api.BarProp	1	1	1
api.BarProp.visible	1	1	1
api.BarProp.visible.returns_popup	1	1	0
api.BarcodeDetector.BarcodeDetector	1	0	0
api.BarcodeDetector	1	0	0
api.BarcodeDetector.detect	1	0	0
api.BarcodeDetector.getSupportedFormats_static	1	0	0
api.BaseAudioContext	1	1	1
api.BaseAudioContext.audioWorklet	1	1	1
api.BaseAudioContext.createAnalyser	1	1	1
api.BaseAudioContext.createBiquadFilter	1	1	1
api.BaseAudioContext.createBuffer	1	1	1
api.BaseAudioContext.createBufferSource	1	1	1
api.BaseAudioContext.createChannelMerger	1	1	1
api.BaseAudioContext.createChannelSplitter	1	1	1
api.BaseAudioContext.createConstantSource	1	1	1
api.BaseAudioContext.createConvolver	1	1	1
api.BaseAudioContext.createDelay	1	1	1
api.BaseAudioContext.createDynamicsCompressor	1	1	1
api.BaseAudioContext.createGain	1	1	1
api.BaseAudioContext.createIIRFilter	1	1	1
api.BaseAudioContext.createOscillator	1	1	1
api.BaseAudioContext.createPanner	1	1	1
api.BaseAudioContext.createPeriodicWave	1	1	1
api.BaseAudioContext.createPeriodicWave.constraints_disableNormalization_parameter	1	1	1
api.BaseAudioContext.createScriptProcessor	1	1	1
api.BaseAudioContext.createStereoPanner	1	1	1
api.BaseAudioContext.createWaveShaper	1	1	1
api.BaseAudioContext.currentTime	1	1	1
api.BaseAudioContext.decodeAudioData	1	1	1
api.BaseAudioContext.decodeAudioData.returns_promise	1	1	1
api.BaseAudioContext.destination	1	1	1
api.BaseAudioContext.listener	1	1	1
api.BaseAudioContext.renderQuantumSize	1	0	0
api.BaseAudioContext.sampleRate	1	1	1
api.BaseAudioContext.state	1	1	1
api.BaseAudioContext.state.interrupted	1	0	1
api.BaseAudioContext.statechange_event	1	1	1
api.BatteryManager	1	0	0
api.BatteryManager.charging	1	0	0
